标题,发布日期,抓取日期,机构,研究员,分析结果,URL
瑞丰新材(300910)：润滑油添加剂26Q2出口稳健 看好公司增长持续,2026-07-22,2026-08-19,西部证券股份有限公司,李旋坤/王金源,"{""归母净利润(亿元)"": {""2026"": 7.89, ""2027"": 9.47, ""2028"": 11.43}, ""PE(X)"": {""2026"": 13.8, ""2027"": 11.5, ""2028"": 9.5}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/838033462402/index.phtml
瑞丰新材(300910)：润滑油添加剂龙头 稳健成长进击全球,2026-07-02,2026-08-19,东方证券股份有限公司,陈传双,"{""EPS(元)"": {""2026"": 2.22, ""2027"": 2.58, ""2028"": 2.99}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/836314487209/index.phtml
瑞丰新材(300910)：产销放量产能持续扩张 红海布局加速海外成长,2026-06-20,2026-08-19,国投证券股份有限公司,王华炳,"{""增速(%)"": {""2026"": 25.47, ""2027"": 15.34, ""2028"": 14.97}, ""净利润(%)"": {""2026"": 18.51, ""2027"": 19.99, ""2028"": 18.3}, ""归母净利润(%)"": {""2026"": 18.81, ""2027"": 19.99, ""2028"": 18.3}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/835286460315/index.phtml
瑞丰新材(300910)：国产龙头崛起 迈向全球润滑油添加剂核心舞台,2026-06-10,2026-08-19,中国国际金融股份有限公司,徐啸天/傅锴铭/裘孝锋,"{""EPS(元)"": {""2026"": 2.15, ""2027"": 2.54}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/834390780260/index.phtml
瑞丰新材(300910)：润滑油添加剂产销稳健增长 费用端增...,2026-05-05,2026-08-19,长江证券股份有限公司,马太/李禹默,"{""归母净利润(亿元)"": {""2026"": 9.1, ""2027"": 11.0, ""2028"": 13.3}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/831293008942/index.phtml
瑞丰新材(300910)：产品毛利率维持稳定 加快全球化布局,2026-04-30,2026-08-19,华安证券股份有限公司,王强峰,"{""归母净利润(亿元)"": {""2026"": 9.1, ""2027"": 10.86, ""2028"": 12.61}, ""增速(%)"": {""2026"": 23.6, ""2027"": 19.3, ""2028"": 16.2}, ""PE(倍)"": {""2026"": 15.0, ""2027"": 13.0, ""2028"": 11.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/830861767102/index.phtml
瑞丰新材(300910)：业绩符合预期 产品结构调整叠加费用...,2026-04-25,2026-08-19,上海申银万国证券研究所有限公司,李绍程/宋涛/马昕晔,"{""归母净利润(亿元)"": {""2026"": 9.03, ""2027"": 11.46, ""2028"": 13.89}, ""PE(X)"": {""2026"": 16.0, ""2027"": 12.0, ""2028"": 10.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/830447520229/index.phtml
瑞丰新材(300910)：润滑油添加剂产销稳健增长 产品矩阵加速升级,2026-03-30,2026-08-19,华安证券股份有限公司,王强峰,"{""归母净利润(亿元)"": {""2026"": 9.1, ""2027"": 10.86, ""2028"": 12.61}, ""增速(%)"": {""2026"": 23.6, ""2027"": 19.3, ""2028"": 16.2}, ""PE(倍)"": {""2026"": 15.18, ""2027"": 12.72, ""2028"": 10.95}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/828238350095/index.phtml
瑞丰新材(300910)：添加剂产销量进一步增长 新项目建设...,2026-03-24,2026-08-19,东方财富证券股份有限公司,张志扬/梅宇鑫,"{""营业收入(亿元)"": {""2026"": 43.34, ""2027"": 51.92, ""2028"": 60.35}, ""归母净利润(亿元)"": {""2026"": 9.02, ""2027"": 10.84, ""2028"": 12.54}, ""PE(倍)"": {""2026"": 15.0, ""2027"": 12.48, ""2028"": 10.8}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/827717441665/index.phtml
瑞丰新材(300910)点评：业绩基本符合预期 全年销量再创...,2026-03-23,2026-08-19,上海申银万国证券研究所有限公司,李绍程/宋涛/马昕晔,"{""归母净利润(亿元)"": {""2026"": 10.94, ""2027"": 13.19}, ""PE(X)"": {""2026"": 13.0, ""2027"": 11.0, ""2028"": 9.0}}",https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/827589120238/index.phtml
